"site_code","name","parent_trust","trust_is_prefix","parent_from_ods","status","is_hospital_site","record_class","primary_role","predecessor","found"
"5E813","PINDERFIELDS HOSPITAL","5E8",TRUE,FALSE,"Inactive",FALSE,"RC2","RO180",NA,TRUE
"7A21L","CARE OF THE ELDERLY DAY HOSPITAL","7A2",TRUE,TRUE,"Active",FALSE,"RC2","RO148","RYN1L",TRUE
"7A2AJ","BRONGLAIS GENERAL HOSPITAL","7A2",TRUE,TRUE,"Active",FALSE,"RC2","RO148","RYNAJ",TRUE
"89997",NA,"899",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"89999",NA,"899",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"8AJ15","WILKINSON JOHN D (DR) (DERMATOLOGIST)","8AJ",TRUE,FALSE,"Active",FALSE,"RC1","RO157",NA,TRUE
"8CW14","BMI THE CHILTERN HOSPITAL","8CW",TRUE,FALSE,"Inactive",FALSE,"RC1","RO157",NA,TRUE
"8CX22",NA,"8CX",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"8GE05","THE LEEDS NUFFIELD HOSPITAL","8GE",TRUE,FALSE,"Inactive",FALSE,"RC1","RO157",NA,TRUE
"E0A3H","ROYAL SUSSEX COUNTY HOSPITAL","RYR",FALSE,TRUE,"Active",TRUE,"RC2","RO198","RXH01",TRUE
"H5L2X","ROYAL OLDHAM HOSPITAL","R0A",FALSE,TRUE,"Active",TRUE,"RC2","RO198",NA,TRUE
"LE211",NA,"LE2",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"NDA02","JARVIS BREAST SCREENING CENTRE","NDA",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NEQ01","PHOENIX HEALTH SOLUTIONS LIMITED","NEQ",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NEY10","SPIRE ELLAND HOSPITAL","NEY",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NID11","LIVINGCARE","NID",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NN401","TYNESIDE SURGICAL SERVICES","NN4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NQT6P","ROYAL UNITED HOSPITAL","NQT",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NRF06","USAIS (SPIRE SOUTHAMPTON HOSPITAL)","NRF",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT202","NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8CQ48",TRUE
"NT210","NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8DA84",TRUE
"NT212","NUFFIELD HEALTH, CHICHESTER HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8CM59",TRUE
"NT216","NUFFIELD HEALTH, GUILDFORD HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8G186",TRUE
"NT218","NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8CN05",TRUE
"NT224","NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8C971",TRUE
"NT225","NUFFIELD HEALTH, LEEDS HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8GE05",TRUE
"NT229","NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8AN80",TRUE
"NT235","NUFFIELD HEALTH, SHREWSBURY HOSPITAL","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8C579",TRUE
"NT244","NUFFIELD HOSPITAL OXFORD (THE MANOR)","NT2",TRUE,TRUE,"Active",FALSE,"RC2","RO176","NT232",TRUE
"NT302","SPIRE BRISTOL HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8CX76",TRUE
"NT306","BUPA DUNEDIN HOSPITAL","NT3",TRUE,FALSE,"Inactive",FALSE,"RC2","RO176",NA,TRUE
"NT308","SPIRE GATWICK PARK HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8CL29",TRUE
"NT30A","SPIRE NOTTINGHAM HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT314","SPIRE LONDON EAST","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8A917",TRUE
"NT316","SPIRE HARPENDEN HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8A549",TRUE
"NT324","SPIRE CHESHIRE HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8DD07",TRUE
"NT325","SPIRE MURRAYFIELD HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8DF61",TRUE
"NT327","SPIRE MANCHESTER HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8DL77",TRUE
"NT332","SPIRE LEEDS HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8AV56",TRUE
"NT333","SPIRE WASHINGTON HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT337","SPIRE LIVERPOOL HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT348","SPIRE ELLAND HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT351","SPIRE HULL AND EAST RIDING HOSPITAL","NT3",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT402","BATH CLINIC","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT403","BEARDWOOD HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8DH84",TRUE
"NT404","BEAUMONT HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8DK02",TRUE
"NT427","PARK HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176","8AY29",TRUE
"NT431","RUNNYMEDE HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT441","THREE SHIRES HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT446","ST EDMUNDS HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT447","DUCHY HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT448","HUDDERSFIELD PRIVATE HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT455","MOUNT ALVERNIA HOSPITAL","NT4",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NT624",NA,"NT6",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"NT818",NA,"NT8",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
"NTA04","NOTTINGHAM NHS TREATMENT CENTRE (NATIONS HEALTHCARE)","NTA",TRUE,TRUE,"Active",FALSE,"RC2","RO176",NA,TRUE
"NTC01",NA,"NTC",TRUE,FALSE,"not in ODS",FALSE,NA,NA,NA,FALSE
