"snomed","site3","icd10_targets"
"109835005","C15","C158"
"1144764001","C15","C159"
"1156786006","C15","C159"
"1156810004","C15","C159"
"1254848008","C15","C159"
"1259344004","C15","C150"
"1259345003","C15","C151"
"1259346002","C15","C152"
"1259347006","C15","C153"
"1259348001","C15","C154"
"1259349009","C15","C155"
"1268389006","C15","C159"
"1268548007","C15","C159"
"128041000119107","C15","C155"
"1290020006","C15","C159"
"187722004","C15","C150"
"187723009","C15","C151"
"187724003","C15","C152"
"187725002","C15","C153"
"187726001","C15","C154"
"187727005","C15","C155"
"235615004","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"254535007","C15","C150"
"254539001","C15","C151"
"254543002","C15","C152"
"254547001","C15","C153"
"254549003","C15","C154"
"254551004","C15","C155"
"276803003","C15","C159"
"276804009","C15","C159"
"307216009","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"314960002","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"342571000000109","C15","C155"
"363402007","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"371962007","C15","C152"
"371978009","C15","C150"
"371984007","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"371998004","C15","C155"
"371999007","C15","C154"
"372017008","C15","C151"
"372023003","C15","C153"
"372138000","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"448229007","C15","C155"
"449153001","C15","C155"
"721617001","C15","C155"
"721618006","C15","C153"
"721619003","C15","C154"
"721620009","C15","C155"
"721621008","C15","C158"
"721622001","C15","C153"
"721623006","C15","C154"
"721624000","C15","C158"
"721625004","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"721626003","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"721627007","C15","C150 C151 C152 C153 C154 C155 C158 C159"
"783183009","C15","C159"
"783704005","C15","C159"
"1090291000000102","C16","C164"
"1090971000000105","C16","C168"
"1090981000000107","C16","C168"
"109836006","C16","C168"
"1137644008","C16","C161"
"1144303008","C16","C164"
"1144304002","C16","C163"
"1144305001","C16","C162"
"1144306000","C16","C165"
"1144307009","C16","C166"
"1259350009","C16","C160"
"1259351008","C16","C161"
"1259352001","C16","C162"
"1259353006","C16","C163"
"1259354000","C16","C164"
"1259355004","C16","C165"
"1259356003","C16","C166"
"1259541008","C16","C169"
"1259802002","C16","C168"
"1259803007","C16","C169"
"1264340007","C16","C169"
"1268396008","C16","C169"
"1268488004","C16","C169"
"1268634001","C16","C169"
"1268900000","C16","C169"
"1287668002","C16","C169"
"1288036007","C16","C169"
"1290015006","C16","C162"
"1290017003","C16","C160"
"1290023008","C16","C163"
"1290064003","C16","C169"
"187732006","C16","C160"
"187733001","C16","C160"
"187734007","C16","C160"
"187736009","C16","C164"
"187738005","C16","C164"
"187740000","C16","C163"
"187741001","C16","C161"
"187742008","C16","C162"
"254553001","C16","C160"
"254555008","C16","C161"
"254557000","C16","C162"
"254559002","C16","C163"
"254561006","C16","C164"
"254563009","C16","C165"
"254567005","C16","C166"
"269459004","C16","C165"
"269460009","C16","C166"
"276809004","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"276810009","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"314961003","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"342511000000104","C16","C160"
"342561000000102","C16","C162"
"363349007","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"372014001","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"372143007","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"408647009","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"438946002","C16","C160"
"439478008","C16","C160"
"440501006","C16","C160"
"447707005","C16","C160"
"447785000","C16","C169"
"449055006","C16","C160"
"681631000119108","C16","C162"
"681681000119109","C16","C161"
"681701000119107","C16","C166"
"681781000119104","C16","C165"
"681941000119107","C16","C164"
"716586009","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"716859000","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"721628002","C16","C160"
"721629005","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"721630000","C16","C160"
"721632008","C16","C163"
"721633003","C16","C168"
"721634009","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"721635005","C16","C160"
"721636006","C16","C162"
"721637002","C16","C163"
"721638007","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"721639004","C16","C160"
"721640002","C16","C162"
"721641003","C16","C163"
"721642005","C16","C168"
"721643000","C16","C160 C161 C162 C163 C164 C165 C166 C168 C169"
"722533007","C16","C160"
"766757006","C16","C169"
"766980008","C16","C169"
"860830009","C16","C168"
"878807001","C16","C169"
"93717002","C16","C162"
"93738008","C16","C160"
"93809003","C16","C161"
"93818001","C16","C166"
"93867004","C16","C165"
"93976007","C16","C163"
"93977003","C16","C164"
