confirmed	trust	patients
RG713	RG712	10
RW915	RW908	10
RG713	RG705	8
RW915	RW901	7
RG713	RG717	6
RX301	RX312	6
RX301	RX308	5
RZ215	RZ208	5
RE202	RE219	4
RL313	RL308	4
RW915	RW920	4
RY906	RY911	4
RD915	RD901	3
RD915	RD910	3
RD915	RD913	3
RE202	RE210	3
RJ110	RJ102	3
RO819	RO808	3
RP503	RP502	3
RW317	RW318	3
RX301	RX311	3
RD915	RD917	2
RE202	RE201	2
RE202	RE211	2
RJ110	RJ101	2
RO819	RO804	2
RO819	RO806	2
RO819	RO820	2
RP503	RP509	2
RP503	RP511	2
RW317	RW313	2
RW317	RW314	2
RW317	RW315	2
RY906	RY912	2
RY906	RY915	2
RZ215	RZ203	2
RZ215	RZ210	2
5E813	RA312	1
5E813	RA802	1
5E813	RD506	1
5E813	RD619	1
5E813	RE008	1
5E813	RH702	1
5E813	RJ605	1
5E813	RM810|RM804	1
5E813	RQ308|RQ309	1
5E813	RQ719	1
5E813	RQ902	1
5E813	RR017	1
5E813	RV602	1
5E813	RX112	1
5E813	RY006	1
5E813	RY605	1
5E813	RY915	1
RD915	RD901|RD917	1
RD915	RD901|RD918	1
RD915	RD918	1
RE202	RE204	1
RG713	RG705|RG717	1
RG713	RG712|RG717	1
RJ110	RJ104	1
RL313	RL303	1
RL313	RL306	1
RL313	RL312	1
RL313	RL312|RL308	1
RO819	RO809	1
RO819	RO813	1
RO819	RO814|RO808	1
RP503	RP511|RP509	1
RP503	RP513	1
RW317	RW305	1
RW317	RW306	1
RW317	RW315|RW314	1
RW317	RW319	1
RX301	RX315	1
RX301	RX315|RX312	1
RY906	RY915|RY911	1
RZ215	RZ202	1
RZ215	RZ209	1
ZZ201	RA001	1
ZZ201	RB519	1
ZZ201	RF201	1
ZZ201	RG011	1
ZZ201	RH711	1
ZZ201	RI907	1
ZZ201	RJ210	1
ZZ201	RL608	1
ZZ201	RP509	1
ZZ201	RS014	1
ZZ201	RU512	1
ZZ201	RY920	1
