site_code	in_cosd	in_hes	source
00000	FALSE	TRUE	HES only
5E813	TRUE	FALSE	COSD only
89997	TRUE	FALSE	COSD only
89999	TRUE	FALSE	COSD only
RA001	TRUE	TRUE	both
RA002	FALSE	TRUE	HES only
RA003	FALSE	TRUE	HES only
RA004	FALSE	TRUE	HES only
RA005	FALSE	TRUE	HES only
RA006	FALSE	TRUE	HES only
RA007	FALSE	TRUE	HES only
RA008	FALSE	TRUE	HES only
RA009	FALSE	TRUE	HES only
RA010	TRUE	TRUE	both
RA011	FALSE	TRUE	HES only
RA012	FALSE	TRUE	HES only
RA101	FALSE	TRUE	HES only
RA102	TRUE	TRUE	both
RA103	TRUE	TRUE	both
RA104	FALSE	TRUE	HES only
RA105	TRUE	TRUE	both
RA106	FALSE	TRUE	HES only
RA107	FALSE	TRUE	HES only
RA108	FALSE	TRUE	HES only
RA109	TRUE	TRUE	both
RA110	FALSE	TRUE	HES only
RA111	TRUE	TRUE	both
RA112	FALSE	TRUE	HES only
RA113	TRUE	FALSE	COSD only
RA116	TRUE	FALSE	COSD only
RA117	TRUE	FALSE	COSD only
RA201	FALSE	TRUE	HES only
RA202	FALSE	TRUE	HES only
RA203	FALSE	TRUE	HES only
RA204	TRUE	TRUE	both
RA205	FALSE	TRUE	HES only
RA206	TRUE	TRUE	both
RA207	FALSE	TRUE	HES only
RA208	FALSE	TRUE	HES only
RA209	FALSE	TRUE	HES only
RA210	FALSE	TRUE	HES only
RA211	FALSE	TRUE	HES only
RA212	TRUE	TRUE	both
RA220	TRUE	FALSE	COSD only
RA301	FALSE	TRUE	HES only
RA302	FALSE	TRUE	HES only
RA303	TRUE	TRUE	both
RA304	TRUE	TRUE	both
RA305	FALSE	TRUE	HES only
RA306	FALSE	TRUE	HES only
RA307	FALSE	TRUE	HES only
RA308	FALSE	TRUE	HES only
RA309	FALSE	TRUE	HES only
RA310	FALSE	TRUE	HES only
RA311	FALSE	TRUE	HES only
RA312	TRUE	TRUE	both
RA313	TRUE	FALSE	COSD only
RA314	TRUE	FALSE	COSD only
RA319	TRUE	FALSE	COSD only
RA501	TRUE	TRUE	both
RA502	FALSE	TRUE	HES only
RA503	TRUE	TRUE	both
RA504	FALSE	TRUE	HES only
RA505	FALSE	TRUE	HES only
RA506	TRUE	TRUE	both
RA507	TRUE	TRUE	both
RA508	FALSE	TRUE	HES only
RA509	FALSE	TRUE	HES only
RA510	FALSE	TRUE	HES only
RA511	TRUE	TRUE	both
RA512	TRUE	TRUE	both
RA514	TRUE	FALSE	COSD only
RA520	TRUE	FALSE	COSD only
RA701	FALSE	TRUE	HES only
RA702	FALSE	TRUE	HES only
RA703	TRUE	TRUE	both
RA704	FALSE	TRUE	HES only
RA705	FALSE	TRUE	HES only
RA706	FALSE	TRUE	HES only
RA707	FALSE	TRUE	HES only
RA708	TRUE	TRUE	both
RA709	FALSE	TRUE	HES only
RA710	FALSE	TRUE	HES only
RA711	FALSE	TRUE	HES only
RA712	FALSE	TRUE	HES only
RA801	FALSE	TRUE	HES only
RA802	TRUE	TRUE	both
RA803	FALSE	TRUE	HES only
RA804	FALSE	TRUE	HES only
RA805	FALSE	TRUE	HES only
RA806	FALSE	TRUE	HES only
RA807	FALSE	TRUE	HES only
RA808	FALSE	TRUE	HES only
RA809	FALSE	TRUE	HES only
RA810	FALSE	TRUE	HES only
RA811	FALSE	TRUE	HES only
RA812	TRUE	TRUE	both
RB001	FALSE	TRUE	HES only
RB002	FALSE	TRUE	HES only
RB003	TRUE	TRUE	both
RB004	FALSE	TRUE	HES only
RB005	TRUE	TRUE	both
RB006	FALSE	TRUE	HES only
RB007	FALSE	TRUE	HES only
RB008	FALSE	TRUE	HES only
RB009	FALSE	TRUE	HES only
RB010	FALSE	TRUE	HES only
RB011	FALSE	TRUE	HES only
RB012	FALSE	TRUE	HES only
RB020	TRUE	FALSE	COSD only
RB101	FALSE	TRUE	HES only
RB102	FALSE	TRUE	HES only
RB103	FALSE	TRUE	HES only
RB104	FALSE	TRUE	HES only
RB105	TRUE	TRUE	both
RB106	TRUE	TRUE	both
RB107	FALSE	TRUE	HES only
RB108	FALSE	TRUE	HES only
RB109	TRUE	TRUE	both
RB110	FALSE	TRUE	HES only
RB111	FALSE	TRUE	HES only
RB112	FALSE	TRUE	HES only
RB114	TRUE	FALSE	COSD only
RB117	TRUE	FALSE	COSD only
RB201	FALSE	TRUE	HES only
RB202	FALSE	TRUE	HES only
RB203	FALSE	TRUE	HES only
RB204	FALSE	TRUE	HES only
RB205	FALSE	TRUE	HES only
RB206	FALSE	TRUE	HES only
RB207	FALSE	TRUE	HES only
RB208	FALSE	TRUE	HES only
RB209	FALSE	TRUE	HES only
RB210	FALSE	TRUE	HES only
RB211	FALSE	TRUE	HES only
RB212	TRUE	TRUE	both
RB214	TRUE	FALSE	COSD only
RB218	TRUE	FALSE	COSD only
RB220	TRUE	FALSE	COSD only
RB501	FALSE	TRUE	HES only
RB502	FALSE	TRUE	HES only
RB503	FALSE	TRUE	HES only
RB504	FALSE	TRUE	HES only
RB505	FALSE	TRUE	HES only
RB506	FALSE	TRUE	HES only
RB507	FALSE	TRUE	HES only
RB508	FALSE	TRUE	HES only
RB509	FALSE	TRUE	HES only
RB510	FALSE	TRUE	HES only
RB511	FALSE	TRUE	HES only
RB512	FALSE	TRUE	HES only
RB517	TRUE	FALSE	COSD only
RB519	TRUE	FALSE	COSD only
RB601	FALSE	TRUE	HES only
RB602	FALSE	TRUE	HES only
RB603	FALSE	TRUE	HES only
RB604	FALSE	TRUE	HES only
RB605	TRUE	TRUE	both
RB606	FALSE	TRUE	HES only
RB607	FALSE	TRUE	HES only
RB608	FALSE	TRUE	HES only
RB609	FALSE	TRUE	HES only
RB610	TRUE	TRUE	both
RB611	FALSE	TRUE	HES only
RB612	FALSE	TRUE	HES only
RB801	TRUE	TRUE	both
RB802	FALSE	TRUE	HES only
RB803	FALSE	TRUE	HES only
RB804	FALSE	TRUE	HES only
RB805	FALSE	TRUE	HES only
RB806	FALSE	TRUE	HES only
RB807	FALSE	TRUE	HES only
RB808	FALSE	TRUE	HES only
RB809	FALSE	TRUE	HES only
RB810	TRUE	TRUE	both
RB811	FALSE	TRUE	HES only
